"","ID","utm_n","place","utm_e"
"378",166,5410439.73878412,"Schönburg (Schoenbourg)",372915.920477443
"379",167,5409964.37121022,"Büst (Bust)",370516.54618911
"380",168,5407289.85144086,"Pfalzweier (-weyer)",372102.289899948
"381",169,5409149.46844284,"Buchsweiler (Bouxwiller)",388327.376406832
"382",170,5409149.46844284,"Buchsweiler (Bouxwiller)",388327.376406832
"383",171,5407520.59607807,"Riedheim",388371.931883658
"384",172,5406559.11460134,"Imbsheim",386474.391380919
"385",173,5407907.09030423,"Griesbach Le Bastberg",385266.473210791
"386",174,5409110.11978753,"Neuweiler (Neuwiller-Lès-Saverne)",382811.525661695
"387",175,5407114.64791169,"Dossenheim (Dossenheim-Sur-Zinsel)",382621.287916881
"388",176,5405485.14308153,"Hattmatt",384238.804424402
"389",177,5405312.26662469,"Ernolsheim (Ernoldsheim-Lès-Saverne)",381030.826479982
"390",178,5403107.76350497,"St. Johann (Saint-Jean-Saverne)",379542.420094449
"391",179,5402905.66703978,"Eckartsweiler",379270.484328014
"392",180,5403069.13991282,"Steinburg (Steinbourg)",383414.035305845
"393",181,5402792.31617251,"Rosenweiler-Dettweiler",386165.627638315
"394",182,5401250.1151413,"Dettweiler",387312.195136167
"395",183,5403660.40792485,"Gottesheim",388281.617538822
"396",184,5405352.45079381,"Gottesheim-Prinzheim",388302.914786822
"397",187,5407717.09792036,"Ettendorf",396056.210398828
"398",188,5408475.0452022,"Büsweiler (Buswiller)",394241.218565895
"399",189,5409795.00979247,"Schalkendorf",394297.04077611
"400",190,5407744.27570368,"Kirrweiler",392099.859251757
"401",191,5407094.96084312,"Dringendorf",393837.578808183
"402",193,5404558.31388348,"Minversheim",398585.360197543
"403",194,5405366.02069948,"Alteckendorf",396798.592208552
"404",195,5405602.72498739,"Lixhausen",393310.398503878
"405",196,5405583.650691,"Zöbersdorf",391699.621158092
"406",197,5405583.650691,"Zöbersdorf",391699.621158092
"407",198,5406875.60328422,"Bosselshausen",390509.752518825
"408",199,5404387.68632741,"Wickersheim",392132.795290876
"409",200,5404162.43982474,"Bossendorf",394203.695337233
"410",201,5401734.5718911,"Melsheim",391210.447162346
"411",202,5401734.5718911,"Melsheim",391210.447162346
"412",203,5401468.32851292,"Hochfelden",394903.398918062
"413",204,5401288.74338168,"Schwindratzheim",397088.769503907
"414",231,5436059.39343292,"Silzheim (Siltzheim)",360525.628716431
"415",232,5430847.08350483,"Herbitzheim",359870.578045415
"416",1072,5394345.73071413,"Sankt Gallen",376935.331930131
"417",1073,5392977.77815718,"Reinhardsmünster",376131.327999923
"418",1074,5401611.09168557,"Otterstal",378607.997633878
"419",1075,5399783.47893839,"Zabern",379868.807896927
"420",1076,5399783.47893839,"Zabern",379868.807896927
"421",1077,5399783.47893839,"Zabern",379868.807896927
"422",1078,5398242.81885063,"Ottersweiler (Otterswiller)",380776.038126103
"423",1079,5396767.96161211,"Schweinheim (Schwenheim)",383273.994241188
"424",1080,5397358.70836074,"Furchhausen",385200.149410663
"425",1081,5397418.77564855,"Altenheim",387060.731415206
"426",1082,5399397.27835999,"Lupstein",388603.265133758
"427",1083,5399397.27835999,"Lupstein",388603.265133758
"428",1084,5396010.81365496,"Friedolsheim",388570.541253662
"429",1085,5395212.95249545,"Männolsheim",386876.447911815
"430",1086,5395662.49760385,"Wolschheim",386037.61528454
"431",1087,5394922.6758421,"Lochweiler",383455.694775891
"432",1088,5394344.03072932,"Kleingöft",385473.405954282
"433",1089,5393701.65372013,"Westhausen (Westhouse-Marmoutier)",385892.496069953
"434",1091,5394110.47935875,"Landersheim",389355.136544631
"435",1092,5395715.19524628,"Tal bei Maursmünster (Marmoutier)",378750.361645341
"436",1093,5394322.23764353,"Maursmünster",380858.320317309
"437",1094,5393681.6472937,"Reutenburg",382709.075027775
